year,movie,movie_id,duration,genre,rate,synopsis,votes,gross,release_date,popularity,awards_wins,Oscar_Best_Picture_won,Oscar_nominated
2000,"Me, Myself & Irene",tt0183505,116,Comedy,6.5,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,190379,90570000,23/06/2000,2501,0,No,0
2000,Pollock,tt0183659,122,Biography|Drama,7,"A film about the life and career of the American painter, Jackson Pollock.",23585,8600000,23/03/2001,,1,No,2
2001,A Knight's Tale,tt0183790,132,Action|Adventure|Romance,6.9000001,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",140668,56080000,11/05/2001,1236,1,No,0
2000,Wonder Boys,tt0185014,107,Comedy|Drama,7.4000001,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",55707,19390000,25/02/2000,,9,No,3
2000,Battlefield Earth,tt0185183,118,Action|Adventure|Sci-Fi,2.4000001,"After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.",66552,21470000,12/05/2000,1982,0,No,0
2000,Little Nicky,tt0185431,90,Comedy|Fantasy,5.30000019,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",82544,39440000,10/11/2000,2772,0,No,0
2000,Frequency,tt0186151,118,Crime|Drama|Mystery,7.4000001,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",84574,44980000,28/04/2000,2283,0,No,0
2000,Space Cowboys,tt0186566,130,Action|Adventure|Thriller,6.4000001,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",61837,90450000,04/08/2000,3244,0,No,1
2000,Gone in Sixty Seconds,tt0187078,118,Action|Crime|Thriller,6.5,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,223486,101640000,09/06/2000,1388,0,No,0
2000,The Patriot,tt0187393,165,Action|Drama|History,7.0999999,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,213438,113330000,28/06/2000,884,0,No,3
2002,Blade II,tt0187738,117,Action|Horror|Sci-Fi,6.69999981,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",164050,81650000,22/03/2002,1700,0,No,0
2000,Shadow of the Vampire,tt0189998,92,Drama|Horror,6.9000001,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,34859,8280000,26/01/2001,,3,No,2
2000,"Crouching Tiger, Hidden Dragon",tt0190332,120,Action|Adventure|Fantasy,7.9000001,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.",221957,128070000,12/01/2001,2121,28,No,10
2000,"O Brother, Where Art Thou?",tt0190590,107,Adventure|Comedy|Crime,7.80000019,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",232646,45510000,02/02/2001,970,1,No,2
2000,Vatel,tt0190861,103,Biography|Drama|Romance,6.5999999,"In 1671, with war brewing with Holland, a penniless prince invites Louis XIV to three days of festivities at a chateau in Chantilly. The prince wants a commission as a general, so the ... See full summary И",6463,50000,10/05/2000,,0,No,1
2000,Vertical Limit,tt0190865,124,Action|Adventure|Drama,5.9000001,"A climber must rescue his sister on top of K2, one of the world's biggest mountains.",50576,68470000,08/12/2000,2228,0,No,0
2000,The Replacements,tt0191397,118,Comedy|Sport,6.5,"During a pro football strike, the owners hire substitute players.",49276,44740000,11/08/2000,699,0,No,0
2000,Erin Brockovich,tt0195685,131,Biography|Drama,7.30000019,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,139323,125550000,17/03/2000,1230,13,No,5
2000,Final Destination,tt0195714,98,Horror|Thriller,6.69999981,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",186452,53300000,17/03/2000,1432,0,No,0
2001,Zoolander,tt0196229,90,Comedy,6.5999999,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",207208,45160000,28/09/2001,1460,0,No,0
2000,Where the Heart Is,tt0198021,120,Comedy|Drama|Romance,6.80000019,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma.",27563,33770000,28/04/2000,2755,0,No,0
2001,"Monsters, Inc.",tt0198781,92,Animation|Adventure|Comedy,8.10000038,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",614220,289910000,02/11/2001,1023,1,No,4
2000,Love & Basketball,tt0199725,124,Drama|Romance|Sport,7.19999981,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with ... See full summary »",14809,27440000,21/04/2000,1727,0,No,0
2000,Coyote Ugly,tt0200550,100,Comedy|Drama|Music,5.5999999,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",92599,60790000,04/08/2000,1673,0,No,0
2001,Moulin Rouge!,tt0203009,127,Drama|Musical|Romance,7.5999999,A poet falls for a beautiful courtesan whom a jealous duke covets.,229031,57390000,01/06/2001,947,24,No,8
2000,Men of Honor,tt0203019,129,Biography|Drama,7.19999981,"The story of Carl Brashear, the first African American, then also the first amputee, US Navy Diver and the man who trained him.",91691,48810000,10/11/2000,2837,0,No,0
2000,Sexy Beast,tt0203119,89,Crime|Thriller,7.30000019,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",44469,6940000,13/07/2001,2800,3,No,1
2000,You Can Count on Me,tt0203230,111,Drama,7.69999981,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",23102,9180000,22/12/2000,1922,7,No,2
2000,The Watcher,tt0204626,97,Crime|Horror|Mystery,5.30000019,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ... See full summary »",22568,28930000,08/09/2000,2819,0,No,0
2000,Bring It On,tt0204946,98,Comedy|Romance|Sport,5.9000001,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,71924,68350000,25/08/2000,1386,0,No,0
2006,Children of Men,tt0206634,109,Drama|Sci-Fi|Thriller,7.9000001,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",374207,35290000,05/01/2007,581,13,No,3
2000,What Women Want,tt0207201,127,Comedy|Fantasy|Romance,6.4000001,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",163233,182810000,15/12/2000,2292,0,No,0
2000,Snatch,tt0208092,102,Comedy|Crime,8.30000019,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",623296,30090000,19/01/2001,307,0,No,0
2000,The Contender,tt0208874,126,Drama|Thriller,7,"Senator Laine Hanson is a contender for US Vice President, but information and disinformation about her past surfaces that threatens to de-rail her confirmation.",20825,17800000,13/10/2000,,0,No,2
2000,Everybody's Famous!,tt0209037,97,Comedy|Drama|Music,7,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and ... See full summary И",2837,70000,12/04/2000,,0,No,1
2002,Ken Park,tt0209077,93,Drama,5.9000001,Ken Park is about several Californian skateboarders' lives and relationships with and without their parents.,25403,,03/04/2003,2211,0,No,0
2000,Memento,tt0209144,113,Mystery|Thriller,8.5,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,879688,25530000,25/05/2001,441,10,No,2
2001,The Mummy Returns,tt0209163,130,Action|Adventure|Fantasy,6.30000019,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",253782,202010000,04/05/2001,1091,0,No,0
